name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,website,priority,prospect_score,opening_hours,source,source_url,maps_url,website_evidence
Gite Chambres d'Hotes,chalet,tourism:chalet,,37420,"15 Rue des Fougeres, 37420",+33 2 47 95 57 85,dm.cutini@orange.fr,yes,high,http://www.lajuranvillerie.com,low,5,Mo-Su 06:00-20:00,OpenStreetMap,https://www.openstreetmap.org/node/4770648523,"https://www.google.com/maps/search/?api=1&query=47.2455869,0.3193608",website tag présent dans OpenStreetMap
La Fritillaire,camp_site,tourism:camp_site,Savigny-en-Véron,37420,"Rue Basse, 37420 Savigny-en-Véron",+33 2 47 58 03 79,lafritillaire@orange.fr,yes,high,https://www.campinglafritillaire.com/,low,5,,OpenStreetMap,https://www.openstreetmap.org/way/333237516,"https://www.google.com/maps/search/?api=1&query=47.2001165,0.1387287",website tag présent dans OpenStreetMap
Le Château d'Isoré,guest_house,tourism:guest_house,Beaumont-en-Véron,37420,"Rue d'Isoré, 37420 Beaumont-en-Véron",+33 2 47 58 08 41,info@chateaudisore.eu,yes,high,https://www.chateaudisore.eu/,low,5,,OpenStreetMap,https://www.openstreetmap.org/way/124992432,"https://www.google.com/maps/search/?api=1&query=47.2057465,0.2076805",website tag présent dans OpenStreetMap
Julien Distribution,company,office:company,,37420,,+33 2 47 58 49 16,julien.distribution@gmail.com;christian.julien@orange.fr,yes,high,https://www.salaison-julien.fr,low,4,,OpenStreetMap,https://www.openstreetmap.org/node/12881327259,"https://www.google.com/maps/search/?api=1&query=47.2040598,0.1740274",website tag présent dans OpenStreetMap
Le Jeanne d'Arc,bar,amenity:bar,,37420,,+33 2 47 58 92 53,snack-bar.le-jeanne-d-arc@orange.fr,likely_yes,medium,https://www.bistrotdepays.com/le-jeanne-darc,low,4,Tu-Fr 07:30-20:00; Sa 09:00-20:00; Su 09:00-13:30,OpenStreetMap,https://www.openstreetmap.org/way/128306955,"https://www.google.com/maps/search/?api=1&query=47.2327545,0.2523155",premier domaine plausible comme site officiel (bistrotdepays.com)
Pharmacie Fraillon,pharmacy,amenity:pharmacy,Beaumont-en-Véron,37420,"9, Beaumont-en-Véron",+33 2 47 58 94 39,,uncertain,low,,medium,4,,OpenStreetMap,https://www.openstreetmap.org/way/124995022,"https://www.google.com/maps/search/?api=1&query=47.197831,0.1842535",résultat ambigu (translate.google.com)
Camping municipal De La Blardière,camp_site,tourism:camp_site,Rigny-Ussé,37420,37420 Rigny-Ussé,+33 2 47 95 55 85,,yes,high,https://www.camping-rigny-usse.com/,low,3,Mo-Su 18:30-20:30,OpenStreetMap,https://www.openstreetmap.org/way/499843944,"https://www.google.com/maps/search/?api=1&query=47.2553421,0.3032184",website tag présent dans OpenStreetMap
Cheviré,guest_house,tourism:guest_house,Savigny en Véron,37420,"11 Rue Basse, 37420 Savigny en Véron",+33 2 47 58 42 49,,yes,high,http://www.ch-hotes-chevire.fr/,low,3,,OpenStreetMap,https://www.openstreetmap.org/node/4947205076,"https://www.google.com/maps/search/?api=1&query=47.2032156,0.1328659",website tag présent dans OpenStreetMap
Crédit Agricole,bank,amenity:bank,Avoine,37420,"Rue des Écoles, 37420 Avoine",+33 2 47 93 66 86,,yes,high,https://www.credit-agricole.fr/particulier/agence/touraine-poitou/avoine-4996.html,low,3,"Tu-We 08:45-12:30,13:45-18:00; Th 08:45-12:15,15:15-18:00; Fr 08:45-12:30,13:45-18:00; Sa 08:45-13:00",OpenStreetMap,https://www.openstreetmap.org/way/62412565,"https://www.google.com/maps/search/?api=1&query=47.2053569,0.1834408",website tag présent dans OpenStreetMap
Ecomusée du Véron,museum,tourism:museum,Savigny-en-Véron,37420,"80 Route de Candes, 37420 Savigny-en-Véron",+33 2 47 58 09 05,,yes,high,https://www.ecomusee-veron.fr/,low,3,"10:00-12:30, 14:00-18:00",OpenStreetMap,https://www.openstreetmap.org/way/207799176,"https://www.google.com/maps/search/?api=1&query=47.2094353,0.1244004",website tag présent dans OpenStreetMap
En Passant,guest_house,tourism:guest_house,Savigny en Véron,37420,"3 Rue de la Berthelonnière, 37420 Savigny en Véron",+33 2 47 58 85 85,,yes,high,http://www.chinonenpassant.com/,low,3,,OpenStreetMap,https://www.openstreetmap.org/node/4947205075,"https://www.google.com/maps/search/?api=1&query=47.206717,0.1407523",website tag présent dans OpenStreetMap
L'Héroz'o,restaurant,amenity:restaurant,,37420,"1 Rue Paul Langevin, 37420",+33 2 47 58 93 10,,likely_yes,medium,https://fr.restaurantguru.com/LHerozo-Beaumont-en-Veron,low,3,"Mo,Su off; Tu-Th 11:45-14:00,19:00-21:30; Fr 11:45-14:00,19:00-22:30; Sa 19:00-23:00",OpenStreetMap,https://www.openstreetmap.org/way/983042610,"https://www.google.com/maps/search/?api=1&query=47.211133,0.1714815",premier domaine plausible comme site officiel (fr.restaurantguru.com)
Le Jardin de Rabelais,company,office:company,Avoine,37420,"30 Rue Gustave Eiffel, 37420 Avoine",+33 2 47 58 90 17,,yes,high,https://www.lejardinderabelais.fr/,low,3,Mo-Fr 08:00-17:00,OpenStreetMap,https://www.openstreetmap.org/node/9335811571,"https://www.google.com/maps/search/?api=1&query=47.2159149,0.1712402",website tag présent dans OpenStreetMap
Le P'tit Bouchon,restaurant,amenity:restaurant,Avoine,37420,"17 Rue Marcel Vignaud, 37420 Avoine",+33 2 47 58 81 85,,yes,high,http://www.leptitbouchon37.fr/,low,3,,OpenStreetMap,https://www.openstreetmap.org/node/9323405667,"https://www.google.com/maps/search/?api=1&query=47.2037319,0.1836294",website tag présent dans OpenStreetMap
3DG,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811558,"https://www.google.com/maps/search/?api=1&query=47.2175203,0.1650136",résultat ambigu (greatbarrierreef.org)
Bar du Centre,cafe,amenity:cafe,Avoine,37420,"Rue Marcel Vignaud, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/2017960923,"https://www.google.com/maps/search/?api=1&query=47.2052203,0.1824908",résultat ambigu (de.wikipedia.org)
Brazillier,roofer,craft:roofer,Avoine,37420,"Impasse Ampère, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/11020739588,"https://www.google.com/maps/search/?api=1&query=47.2189289,0.1642171",résultat ambigu (ge.xhamster.desi)
Capaval,company,office:company,Avoine,37420,"Impasse Ampère, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811593,"https://www.google.com/maps/search/?api=1&query=47.2195879,0.1641927",résultat ambigu (patienteninfo-service.de)
Carrefour Contact,supermarket,shop:supermarket,,37420,,+33 2 47 58 41 20,,yes,high,https://www.carrefour.fr/magasin/contact-avoine,low,2,Mo-Sa 08:00-20:00; Su 09:00-13:00,OpenStreetMap,https://www.openstreetmap.org/way/62411244,"https://www.google.com/maps/search/?api=1&query=47.2047304,0.1837947",website tag présent dans OpenStreetMap
Centre Nucléaire de Production d'Electricité de Chinon,attraction,tourism:attraction,Avoine,37420,"D 749, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/way/235386452,"https://www.google.com/maps/search/?api=1&query=47.2282946,0.1714546",résultat ambigu (chatgpt.com)
Chêne de France,trade,shop:trade,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811566,"https://www.google.com/maps/search/?api=1&query=47.2204226,0.1649298",résultat ambigu (amazon.de)
Domaine de Bertignolles,wine,shop:wine,Savigny-en-Véron,37420,"Rue des Mariniers, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/way/192471336,"https://www.google.com/maps/search/?api=1&query=47.2226405,0.1117507",résultat ambigu (de.wikipedia.org)
Domaine Olga Raffault,wine,shop:wine,Savigny-en-Véron,37420,"Rue du Pré aux Moines, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/way/191430484,"https://www.google.com/maps/search/?api=1&query=47.2076583,0.1275195",résultat ambigu (de.wikipedia.org)
Eiffel Industrie,company,office:company,Savigny-en-Véron,37420,"Rue Maurice Raffault, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9332693396,"https://www.google.com/maps/search/?api=1&query=47.2135389,0.162804",résultat ambigu (de.wikipedia.org)
France Service,government,office:government,Avoine,37420,"Avenue de la République, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/11020739581,"https://www.google.com/maps/search/?api=1&query=47.2093464,0.1838186",résultat ambigu (de.wikipedia.org)
H. Events,company,office:company,Savigny-en-Véron,37420,"Rue du Fûtreau, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9332693389,"https://www.google.com/maps/search/?api=1&query=47.2136746,0.1628116",résultat ambigu (www2.hm.com)
Horti Production,company,office:company,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811553,"https://www.google.com/maps/search/?api=1&query=47.2180419,0.169032",résultat ambigu (zhihu.com)
Le Jardin de Rabelais - Site Savigny 1,company,office:company,Savigny-en-Véron,37420,"Rue de la Gabare, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/13481588955,"https://www.google.com/maps/search/?api=1&query=47.2193203,0.1591469",résultat ambigu (dict.leo.org)
Le Pas des Vignes,guest_house,tourism:guest_house,Savigny-en-Véron,37420,"Place de l'Église, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/7997055228,"https://www.google.com/maps/search/?api=1&query=47.200965,0.1453677",résultat ambigu (dict.leo.org)
Les cascades des saveurs,bakery,shop:bakery,Avoine,37420,"Rue Marcel Vignaud, 37420 Avoine",,,uncertain,low,,medium,2,"Mo-Fr 06:30-14:00,15:00-18:30; Sa 07:30-12:30; Su off",OpenStreetMap,https://www.openstreetmap.org/node/461178934,"https://www.google.com/maps/search/?api=1&query=47.2050215,0.1826438",résultat ambigu (les-pforzheim.de)
Les Douceurs du Véron,bakery,shop:bakery,Beaumont-en-Véron,37420,"Rue du Parc, 37420 Beaumont-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/7982479488,"https://www.google.com/maps/search/?api=1&query=47.194522,0.1832449",résultat ambigu (les-pforzheim.de)
LMN Nettoyage,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811575,"https://www.google.com/maps/search/?api=1&query=47.2178854,0.164201",résultat ambigu (livemusicnow-hannover.de)
magpresse,newsagent,shop:newsagent,Avoine,37420,"Rue Marcel Vignaud, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/2017960925,"https://www.google.com/maps/search/?api=1&query=47.2052453,0.1824628",résultat ambigu (guide.planetofhotels.com)
Menuiserie Arnault,joiner,craft:joiner,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9335811548,"https://www.google.com/maps/search/?api=1&query=47.2197047,0.1644989",résultat ambigu (gmx.net)
Orano DS,tool_hire,shop:tool_hire,,37420,,+33 2 47 93 82 30,,likely_yes,medium,https://www.orano.group/en,low,2,,OpenStreetMap,https://www.openstreetmap.org/node/12741338201,"https://www.google.com/maps/search/?api=1&query=47.2189046,0.1627276",premier domaine plausible comme site officiel (orano.group)
Passenaud H.A Métal,metal_works,craft:metal_works,Savigny-en-Véron,37420,"Rue de la Toue, 37420 Savigny-en-Véron",,,uncertain,low,,medium,2,,OpenStreetMap,https://www.openstreetmap.org/node/9332693415,"https://www.google.com/maps/search/?api=1&query=47.2102752,0.1599367",résultat ambigu (dometic.com)
