name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,priority,prospect_score,opening_hours,source_url,maps_url,website_evidence
Horti Production,company,office:company,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",+33 2 47 58 88 80,,uncertain,low,medium,4,,https://www.openstreetmap.org/node/9335811553,"https://www.google.com/maps/search/?api=1&query=47.2180419,0.169032",résultat ambigu (google.com.eg)
Pharmacie Fraillon,pharmacy,amenity:pharmacy,Beaumont-en-Véron,37420,"9, Beaumont-en-Véron",+33 2 47 58 94 39,,uncertain,low,medium,4,,https://www.openstreetmap.org/way/124995022,"https://www.google.com/maps/search/?api=1&query=47.197831,0.1842535",résultat ambigu (ru.wikipedia.org)
3DG,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811558,"https://www.google.com/maps/search/?api=1&query=47.2175203,0.1650136",résultat ambigu (ninisite.com)
Bar du Centre,cafe,amenity:cafe,Avoine,37420,"Rue Marcel Vignaud, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/2017960923,"https://www.google.com/maps/search/?api=1&query=47.2052203,0.1824908",résultat ambigu (geheimtippaugsburg.de)
Brazillier,roofer,craft:roofer,Avoine,37420,"Impasse Ampère, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/11020739588,"https://www.google.com/maps/search/?api=1&query=47.2189289,0.1642171",résultat ambigu (amberg.de)
Capaval,company,office:company,Avoine,37420,"Impasse Ampère, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811593,"https://www.google.com/maps/search/?api=1&query=47.2195879,0.1641927",résultat ambigu (patienteninfo-service.de)
Centre Nucléaire de Production d'Electricité de Chinon,attraction,tourism:attraction,Avoine,37420,"D 7, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/way/235386452,"https://www.google.com/maps/search/?api=1&query=47.2282946,0.1714546",résultat ambigu (insolvenzbekanntmachungen.de)
Chêne de France,trade,shop:trade,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811566,"https://www.google.com/maps/search/?api=1&query=47.2204226,0.1649298",résultat ambigu (coinspeaker.com)
Eiffel Industrie,company,office:company,Savigny-en-Véron,37420,"Rue Maurice Raffault, 37420 Savigny-en-Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9332693396,"https://www.google.com/maps/search/?api=1&query=47.2135389,0.162804",résultat ambigu (de.wikipedia.org)
France Service,government,office:government,Avoine,37420,"Avenue de la République, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/11020739581,"https://www.google.com/maps/search/?api=1&query=47.2093464,0.1838186",résultat ambigu (de.wikipedia.org)
H. Events,company,office:company,Savigny-en-Véron,37420,"Rue du Fûtreau, 37420 Savigny-en-Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9332693389,"https://www.google.com/maps/search/?api=1&query=47.2136746,0.1628116",résultat ambigu (de.wikipedia.org)
Le Jardin de Rabelais - Site Savigny 1,company,office:company,Savigny-en-Véron,37420,"Rue de la Gabare, 37420 Savigny-en-Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/13481588955,"https://www.google.com/maps/search/?api=1&query=47.2193203,0.1591469",résultat ambigu (leo.org)
LMN Nettoyage,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811575,"https://www.google.com/maps/search/?api=1&query=47.2178854,0.164201",résultat ambigu (livemusicnow-hannover.de)
Menuiserie Arnault,joiner,craft:joiner,Avoine,37420,"Rue Gustave Eiffel, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811548,"https://www.google.com/maps/search/?api=1&query=47.2197047,0.1644989",résultat ambigu (community.sky.de)
Passenaud H.A Métal,metal_works,craft:metal_works,Savigny-en-Véron,37420,"Rue de la Toue, 37420 Savigny-en-Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9332693415,"https://www.google.com/maps/search/?api=1&query=47.2102752,0.1599367",résultat ambigu (annoncesbateau.com)
Phytoservice,company,office:company,Avoine,37420,"Rue André-Marie Ampère, 37420 Avoine",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/9335811580,"https://www.google.com/maps/search/?api=1&query=47.2172381,0.1645884",résultat ambigu (support.google.com)
Église Notre-Dame,attraction,tourism:attraction,Rigny-Ussé,37420,"Rue des Fougères, 37420 Rigny-Ussé",,,uncertain,low,medium,2,,https://www.openstreetmap.org/way/70737373,"https://www.google.com/maps/search/?api=1&query=47.2479647,0.3162042",résultat ambigu (de.pons.com)
