name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,priority,prospect_score,opening_hours,source_url,maps_url,website_evidence
L'Héroz'o,restaurant,amenity:restaurant,,37420,"1 Rue Paul Langevin, 37420",+33 2 47 58 93 10,,uncertain,low,medium,4,"Mo,Su off; Tu-Th 11:45-14:00,19:00-21:30; Fr 11:45-14:00,19:00-22:30; Sa 19:00-23:00",https://www.openstreetmap.org/way/983042610,"https://www.google.com/maps/search/?api=1&query=47.211133,0.1714815",résultat ambigu (bing.com)
Pharmacie Fraillon,pharmacy,amenity:pharmacy,Beaumont-en-Véron,37420,"9, Beaumont-en-Véron",+33 2 47 58 94 39,,uncertain,low,medium,4,,https://www.openstreetmap.org/way/124995022,"https://www.google.com/maps/search/?api=1&query=47.197831,0.1842535",résultat ambigu (bing.com)
Au fil de l'eau,restaurant,amenity:restaurant,,37420,4 Rue du Val de l'Indre,,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/10001977890,"https://www.google.com/maps/search/?api=1&query=47.2313186,0.1881937",résultat ambigu (gesund.bund.de)
Domaine de la Roche Honneur,wine,shop:wine,Savigny en Véron,37240,"1 Rue de la Berthelonnière, 37240 Savigny en Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/4947205074,"https://www.google.com/maps/search/?api=1&query=47.2070094,0.1408736",résultat ambigu (bing.com)
Le Jardin de Rabelais - Site Savigny 1,company,office:company,Savigny-en-Véron,37420,"Rue de la Gabare, 37420 Savigny-en-Véron",,,uncertain,low,medium,2,,https://www.openstreetmap.org/node/13481588955,"https://www.google.com/maps/search/?api=1&query=47.2193203,0.1591469",résultat ambigu (bing.com)
3DG,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811558,"https://www.google.com/maps/search/?api=1&query=47.2175203,0.1650136",résultat ambigu (bing.com)
ATTM,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811550,"https://www.google.com/maps/search/?api=1&query=47.2169238,0.1654374",résultat ambigu (bing.com)
Bar du Centre,cafe,amenity:cafe,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/2017960923,"https://www.google.com/maps/search/?api=1&query=47.2052203,0.1824908",résultat ambigu (bing.com)
Brazillier,roofer,craft:roofer,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/11020739588,"https://www.google.com/maps/search/?api=1&query=47.2189289,0.1642171",résultat ambigu (bing.com)
Cabas Huismois,convenience,shop:convenience,,37420,,,,uncertain,low,medium,1,"Mo 08:00-12:30,16:30-19:15; Tu 08:30-12:30; We-Su 09:30-12:30; Th off; Fr 09:30-12:30,16:30-19:15",https://www.openstreetmap.org/node/10038069342,"https://www.google.com/maps/search/?api=1&query=47.2316764,0.2534786",résultat ambigu (bing.com)
Capaval,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811593,"https://www.google.com/maps/search/?api=1&query=47.2195879,0.1641927",résultat ambigu (bing.com)
Casse auto du Véron,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693401,"https://www.google.com/maps/search/?api=1&query=47.2106039,0.1590578",résultat ambigu (dict.leo.org)
Centre Nucléaire de Production d'Electricité de Chinon,attraction,tourism:attraction,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/235386452,"https://www.google.com/maps/search/?api=1&query=47.2282946,0.1714546",résultat ambigu (bing.com)
Chêne de France,trade,shop:trade,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811566,"https://www.google.com/maps/search/?api=1&query=47.2204226,0.1649298",résultat ambigu (bing.com)
DDT Fluvial,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693398,"https://www.google.com/maps/search/?api=1&query=47.2136525,0.1614285",résultat ambigu (bing.com)
Domaine de Bertignolles,wine,shop:wine,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/192471336,"https://www.google.com/maps/search/?api=1&query=47.2226405,0.1117507",résultat ambigu (bing.com)
Domaine des Galuches,wine,shop:wine,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/193336828,"https://www.google.com/maps/search/?api=1&query=47.2321395,0.1419791",résultat ambigu (bing.com)
Domaine Jean-Maurice Raffault,wine,shop:wine,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/189592210,"https://www.google.com/maps/search/?api=1&query=47.204775,0.1461395",résultat ambigu (bing.com)
